Patient Id,Patient Gender,Patient Age,Department Referral,Patient Waittime,Arrival_Time,Day_of_Week,Emergency_Case_Type,Triage_Level,Queue_Length,Doctors_Available,Nurses_Available,Gender_Code,Day_Code,Emergency_Type_Code,Department_Code
846-66-7490,M,48,Orthopedics,22,09:22,Sunday,Fracture,3,21,8,12,0,7,4,4
278-49-6531,F,74,Neurology,5,01:22,Thursday,Stroke,1,25,4,10,1,4,2,2
600-62-3412,M,14,Neurology,14,23:25,Friday,Stroke,1,18,9,6,0,5,2,2
745-62-9973,F,37,General Surgery,16,19:41,Saturday,Abdominal Pain,3,19,8,15,1,6,9,6
384-70-5840,M,25,Orthopedics,12,07:00,Sunday,Fracture,3,11,10,13,0,7,4,4
285-41-0221,M,39,General Medicine,41,06:48,Tuesday,Fever,4,15,6,14,0,2,10,5
124-73-3676,M,48,General Surgery,23,02:58,Monday,Abdominal Pain,3,25,5,15,0,1,9,6
878-55-0051,F,22,General Medicine,44,06:59,Friday,Fever,4,8,5,5,1,5,10,5
206-25-4281,F,72,General,12,07:02,Friday,Allergic Reaction,3,10,10,8,1,5,8,6
472-28-5842,F,41,General,23,23:44,Sunday,Allergic Reaction,3,21,7,14,1,7,8,6
553-27-8559,F,8,Trauma,6,20:23,Wednesday,Accident,2,6,5,9,1,3,3,6
319-83-9008,F,70,General Surgery,12,19:00,Friday,Abdominal Pain,3,9,4,12,1,5,9,6
434-16-5502,F,50,Orthopedics,10,09:21,Tuesday,Fracture,3,8,9,5,1,2,4,4
672-89-2190,F,33,Orthopedics,47,00:44,Tuesday,Fracture,3,21,3,5,1,2,4,4
135-05-4896,M,17,General,20,16:34,Sunday,Allergic Reaction,3,20,9,9,0,7,8,6
760-33-4176,F,45,General Medicine,57,06:43,Thursday,Fever,4,21,10,9,1,4,10,5
624-71-9493,F,53,General Medicine,75,01:26,Thursday,Fever,4,18,6,5,1,4,10,5
479-42-8894,F,15,Burn Unit,15,08:09,Wednesday,Burn Injury,3,9,3,14,1,3,5,6
324-75-4743,M,48,Trauma,5,12:22,Saturday,Accident,2,9,5,13,0,6,3,6
207-15-4815,F,20,Burn Unit,16,08:54,Sunday,Burn Injury,3,11,3,15,1,7,5,6
407-45-1728,M,45,Neurology,10,15:40,Wednesday,Stroke,1,25,7,11,0,3,2,2
354-75-9525,F,76,Cardiology,14,09:40,Tuesday,Chest Pain,2,20,3,13,1,2,7,1
298-72-2588,M,74,General Medicine,77,12:46,Saturday,Fever,4,16,4,6,0,6,10,5
794-74-3955,M,15,Cardiology,6,08:56,Monday,Chest Pain,2,12,8,9,0,1,7,1
213-04-4901,M,21,Orthopedics,28,22:26,Friday,Fracture,3,24,7,11,0,5,4,4
683-46-5079,M,47,Cardiology,6,00:42,Thursday,Heart Attack,1,20,10,14,0,4,1,1
843-56-0384,M,60,General Medicine,30,01:52,Monday,Fever,4,11,6,12,0,1,10,5
882-39-1200,M,10,Cardiology,14,09:36,Thursday,Chest Pain,2,6,8,5,0,4,7,1
697-90-3233,M,54,Neurology,14,04:02,Tuesday,Stroke,1,14,3,10,0,2,2,2
481-99-0791,F,15,Cardiology,9,01:51,Monday,Heart Attack,1,6,6,14,1,1,1,1
218-42-0736,M,55,Cardiology,5,18:36,Friday,Heart Attack,1,21,8,12,0,5,1,1
111-19-4529,M,11,Cardiology,13,08:04,Saturday,Heart Attack,1,17,4,7,0,6,1,1
490-74-0642,M,7,Cardiology,12,22:25,Wednesday,Heart Attack,1,6,10,11,0,3,1,1
498-99-8689,M,49,Orthopedics,23,01:48,Thursday,Fracture,3,24,10,13,0,4,4,4
705-01-2168,F,70,Cardiology,6,05:27,Wednesday,Chest Pain,2,5,6,5,1,3,7,1
119-28-5124,F,16,Orthopedics,14,06:46,Tuesday,Fracture,3,13,9,8,1,2,4,4
509-88-2899,M,14,Cardiology,10,04:41,Saturday,Chest Pain,2,22,3,13,0,6,7,1
258-48-2258,M,41,Cardiology,6,16:12,Saturday,Heart Attack,1,25,5,15,0,6,1,1
369-33-5075,M,8,Burn Unit,35,20:48,Friday,Burn Injury,3,25,5,9,0,5,5,6
643-90-3414,M,64,General Surgery,6,09:57,Monday,Abdominal Pain,3,5,7,10,0,1,9,6
412-29-6293,F,76,Burn Unit,16,08:37,Tuesday,Burn Injury,3,9,6,5,1,2,5,6
844-81-9989,F,17,General Surgery,12,14:50,Saturday,Abdominal Pain,3,6,3,11,1,6,9,6
839-13-8580,M,38,Pulmonology,13,06:11,Monday,Breathing Problem,2,6,4,13,0,1,6,6
367-52-9587,F,75,Neurology,5,13:27,Saturday,Stroke,1,22,7,15,1,6,2,2
621-85-6677,M,77,General Medicine,54,06:33,Wednesday,Fever,4,18,4,12,0,3,10,5
563-01-2494,M,34,Cardiology,3,20:40,Sunday,Heart Attack,1,15,7,14,0,7,1,1
570-11-3903,F,26,Trauma,3,06:34,Wednesday,Accident,2,21,4,11,1,3,3,6
292-45-8684,F,51,OB/GYN,3,03:49,Tuesday,Pregnancy Complication,2,20,4,13,1,2,12,6
721-19-3123,F,9,Cardiology,3,04:00,Monday,Heart Attack,1,8,10,12,1,1,1,1
652-33-9813,F,71,Trauma,15,05:28,Saturday,Accident,2,19,7,10,1,6,3,6
809-14-6629,M,51,Orthopedics,16,18:51,Friday,Fracture,3,14,4,13,0,5,4,4
304-72-3326,F,73,General Surgery,11,07:52,Saturday,Abdominal Pain,3,11,10,15,1,6,9,6
231-20-7799,F,46,OB/GYN,13,16:08,Wednesday,Pregnancy Complication,2,6,6,11,1,3,12,6
597-41-0817,F,13,Neurology,5,16:23,Monday,Stroke,1,19,7,6,1,1,2,2
496-23-9655,F,15,Cardiology,10,16:41,Tuesday,Heart Attack,1,10,8,9,1,2,1,1
636-90-6357,M,57,General Surgery,19,13:49,Monday,Abdominal Pain,3,16,10,10,0,1,9,6
300-34-2747,M,16,General Medicine,58,01:18,Sunday,Fever,4,24,6,13,0,7,10,5
178-52-1500,M,4,Orthopedics,30,02:34,Wednesday,Fracture,3,22,9,5,0,3,4,4
521-84-1782,F,32,Trauma,6,09:30,Sunday,Accident,2,12,5,7,1,7,3,6
818-26-8196,M,26,General Surgery,36,13:17,Sunday,Abdominal Pain,3,24,3,11,0,7,9,6
808-11-5508,F,9,Cardiology,13,18:29,Friday,Chest Pain,2,15,8,14,1,5,7,1
439-25-2191,F,10,OB/GYN,8,07:18,Saturday,Pregnancy Complication,2,15,9,11,1,6,12,6
186-28-5457,F,24,Cardiology,8,17:09,Saturday,Heart Attack,1,15,10,5,1,6,1,1
854-61-3541,M,27,Orthopedics,12,02:29,Tuesday,Fracture,3,6,7,7,0,2,4,4
368-53-4901,M,26,Pulmonology,4,14:09,Wednesday,Breathing Problem,2,17,8,15,0,3,6,6
826-27-1762,M,79,Burn Unit,34,18:32,Sunday,Burn Injury,3,18,6,5,0,7,5,6
335-73-2892,M,15,Pulmonology,2,00:17,Monday,Breathing Problem,2,10,7,8,0,1,6,6
331-09-2284,M,43,Cardiology,2,09:21,Sunday,Heart Attack,1,21,8,11,0,7,1,1
888-46-1367,F,14,Cardiology,3,12:21,Wednesday,Heart Attack,1,11,5,11,1,3,1,1
577-17-4945,M,59,General Surgery,13,05:22,Friday,Abdominal Pain,3,7,3,11,0,5,9,6
113-60-6899,M,58,Orthopedics,11,17:12,Thursday,Fracture,3,10,4,12,0,4,4,4
646-67-2143,M,25,General,11,00:22,Sunday,Allergic Reaction,3,11,8,15,0,7,8,6
148-47-0490,M,64,General Medicine,87,11:33,Sunday,Fever,4,22,6,6,0,7,10,5
345-87-0533,M,20,Neurology,3,12:40,Tuesday,Stroke,1,8,6,7,0,2,2,2
603-14-9459,M,69,Orthopedics,10,23:47,Tuesday,Fracture,3,9,6,14,0,2,4,4
628-78-9167,M,26,General Surgery,19,15:58,Tuesday,Abdominal Pain,3,22,6,15,0,2,9,6
814-60-0292,M,16,Burn Unit,17,02:23,Wednesday,Burn Injury,3,13,6,12,0,3,5,6
306-67-0367,M,45,General Medicine,56,01:14,Saturday,Fever,4,14,6,5,0,6,10,5
658-82-9991,M,7,Pulmonology,8,10:11,Wednesday,Breathing Problem,2,12,5,11,0,3,6,6
770-82-7913,M,66,Cardiology,6,00:34,Sunday,Chest Pain,2,12,4,5,0,7,7,1
659-64-3380,F,61,OB/GYN,7,11:12,Wednesday,Pregnancy Complication,2,25,4,7,1,3,12,6
195-51-9264,F,47,Pulmonology,14,20:46,Monday,Breathing Problem,2,8,9,10,1,1,6,6
240-68-3060,M,66,Cardiology,7,20:06,Saturday,Heart Attack,1,11,5,10,0,6,1,1
866-26-1903,M,8,Pulmonology,14,18:53,Tuesday,Breathing Problem,2,24,3,5,0,2,6,6
275-36-1151,F,9,General Surgery,23,05:57,Friday,Abdominal Pain,3,23,5,15,1,5,9,6
314-59-3768,F,24,Cardiology,3,15:01,Friday,Chest Pain,2,8,3,5,1,5,7,1
310-26-9113,F,16,Cardiology,14,21:36,Monday,Chest Pain,2,13,5,7,1,1,7,1
698-47-1909,M,47,Pulmonology,3,12:34,Tuesday,Breathing Problem,2,25,5,10,0,2,6,6
378-02-5523,M,23,Cardiology,2,23:13,Thursday,Heart Attack,1,9,3,13,0,4,1,1
769-87-4732,F,51,Pulmonology,5,14:47,Saturday,Breathing Problem,2,21,6,7,1,6,6,6
120-71-9392,M,26,Neurology,14,06:35,Friday,Stroke,1,14,9,9,0,5,2,2
200-22-3513,M,32,Pulmonology,9,04:07,Sunday,Breathing Problem,2,11,4,13,0,7,6,6
415-95-3806,F,76,Orthopedics,29,20:28,Monday,Fracture,3,18,4,7,1,1,4,4
635-96-2790,F,6,Neurology,3,08:46,Sunday,Stroke,1,24,8,8,1,7,2,2
229-85-2969,F,17,Cardiology,15,01:36,Thursday,Chest Pain,2,9,10,11,1,4,7,1
341-84-3922,F,10,Pulmonology,8,18:43,Sunday,Breathing Problem,2,19,4,14,1,7,6,6
442-29-0481,F,55,Cardiology,11,10:55,Monday,Chest Pain,2,18,4,6,1,1,7,1
340-37-0758,F,73,Neurology,3,06:49,Thursday,Stroke,1,25,10,8,1,4,2,2
260-54-7458,F,29,Cardiology,9,00:43,Thursday,Chest Pain,2,19,10,11,1,4,7,1
421-27-7766,M,51,Burn Unit,27,18:20,Thursday,Burn Injury,3,16,6,5,0,4,5,6
194-48-7359,M,60,General Surgery,24,03:23,Friday,Abdominal Pain,3,16,9,5,0,5,9,6
145-05-0045,F,38,General,11,11:56,Monday,Allergic Reaction,3,6,9,7,1,1,8,6
497-86-6002,M,72,Pulmonology,7,04:00,Wednesday,Breathing Problem,2,13,4,8,0,3,6,6
659-67-6667,F,72,Cardiology,12,13:49,Thursday,Heart Attack,1,22,10,5,1,4,1,1
544-69-9655,M,75,Neurology,4,18:38,Friday,Stroke,1,18,6,10,0,5,2,2
887-86-8057,F,16,General Medicine,30,05:41,Monday,Fever,4,7,10,7,1,1,10,5
795-38-6179,M,8,General Surgery,15,03:54,Monday,Abdominal Pain,3,13,4,12,0,1,9,6
706-66-3236,M,71,Burn Unit,22,23:33,Saturday,Burn Injury,3,19,7,12,0,6,5,6
562-98-3699,M,28,Cardiology,15,17:54,Saturday,Heart Attack,1,8,8,11,0,6,1,1
180-35-8890,F,22,Pulmonology,10,11:00,Sunday,Breathing Problem,2,9,6,6,1,7,6,6
359-98-5533,F,16,Orthopedics,42,10:54,Wednesday,Fracture,3,25,3,9,1,3,4,4
790-27-9833,F,29,Neurology,14,22:32,Saturday,Stroke,1,22,3,11,1,6,2,2
432-40-5889,M,19,General,27,10:05,Friday,Allergic Reaction,3,24,6,12,0,5,8,6
236-99-6309,F,60,General Medicine,24,21:42,Wednesday,Fever,4,8,8,9,1,3,10,5
662-90-5190,M,71,General Surgery,15,22:10,Friday,Abdominal Pain,3,10,3,9,0,5,9,6
770-08-4969,M,77,General,13,11:55,Friday,Allergic Reaction,3,9,5,14,0,5,8,6
893-18-5714,F,49,General,18,16:20,Tuesday,Allergic Reaction,3,14,10,5,1,2,8,6
190-91-2664,F,14,Burn Unit,10,19:55,Tuesday,Burn Injury,3,5,9,5,1,2,5,6
213-46-3828,M,6,Cardiology,8,01:55,Monday,Chest Pain,2,8,4,11,0,1,7,1
808-75-2972,M,6,Pulmonology,11,20:02,Sunday,Breathing Problem,2,23,3,13,0,7,6,6
496-69-3161,F,48,Orthopedics,9,20:10,Monday,Fracture,3,6,6,13,1,1,4,4
239-37-0566,M,10,Trauma,6,00:11,Friday,Accident,2,7,9,15,0,5,3,6
469-30-6816,M,34,Cardiology,14,16:28,Wednesday,Heart Attack,1,8,5,15,0,3,1,1
502-54-3350,F,42,Orthopedics,25,11:53,Monday,Fracture,3,9,3,5,1,1,4,4
876-70-2288,F,3,General,34,19:35,Tuesday,Allergic Reaction,3,24,4,9,1,2,8,6
767-42-4576,M,22,Orthopedics,18,02:29,Tuesday,Fracture,3,13,5,11,0,2,4,4
251-38-8325,F,37,Neurology,3,09:30,Sunday,Stroke,1,14,8,15,1,7,2,2
708-71-9586,M,29,Burn Unit,21,23:18,Monday,Burn Injury,3,21,7,11,0,1,5,6
215-50-7038,M,34,Orthopedics,10,22:31,Sunday,Fracture,3,10,4,15,0,7,4,4
210-58-4747,M,43,Neurology,5,04:12,Tuesday,Stroke,1,23,10,14,0,2,2,2
854-45-3713,F,39,Orthopedics,40,10:07,Saturday,Fracture,3,25,3,9,1,6,4,4
574-65-3712,F,25,Neurology,13,02:51,Saturday,Stroke,1,6,6,9,1,6,2,2
270-55-3429,M,27,Burn Unit,24,03:20,Wednesday,Burn Injury,3,21,9,9,0,3,5,6
676-03-2440,F,13,OB/GYN,9,08:15,Sunday,Pregnancy Complication,2,10,8,13,1,7,12,6
719-63-6159,F,54,Pulmonology,2,04:12,Wednesday,Breathing Problem,2,7,10,7,1,3,6,6
634-41-8155,M,39,Pulmonology,10,03:45,Thursday,Breathing Problem,2,8,10,13,0,4,6,6
554-84-1081,M,27,Burn Unit,10,04:02,Saturday,Burn Injury,3,10,9,9,0,6,5,6
260-11-2849,F,66,Burn Unit,10,07:40,Thursday,Burn Injury,3,10,8,15,1,4,5,6
205-60-1987,M,32,General Surgery,27,06:42,Wednesday,Abdominal Pain,3,20,9,7,0,3,9,6
607-91-4614,F,12,Orthopedics,17,17:42,Sunday,Fracture,3,14,7,9,1,7,4,4
575-64-1293,F,55,OB/GYN,9,21:04,Monday,Pregnancy Complication,2,20,9,8,1,1,12,6
710-50-4562,F,47,OB/GYN,12,13:19,Sunday,Pregnancy Complication,2,25,9,6,1,7,12,6
257-20-4587,M,61,Trauma,13,00:21,Monday,Accident,2,6,7,5,0,1,3,6
352-67-4305,M,71,General,22,23:29,Thursday,Allergic Reaction,3,9,4,5,0,4,8,6
146-69-4652,F,34,Cardiology,10,00:01,Wednesday,Chest Pain,2,25,4,14,1,3,7,1
802-59-5463,F,24,Trauma,9,10:23,Thursday,Accident,2,13,8,11,1,4,3,6
469-84-4163,F,47,Cardiology,12,14:50,Tuesday,Heart Attack,1,22,5,6,1,2,1,1
189-09-4142,M,51,Cardiology,3,00:11,Thursday,Heart Attack,1,22,6,5,0,4,1,1
636-29-5268,F,19,General Surgery,20,02:45,Wednesday,Abdominal Pain,3,17,4,11,1,3,9,6
658-20-0202,F,50,General,7,03:00,Thursday,Allergic Reaction,3,6,3,14,1,4,8,6
846-58-8376,F,8,General Surgery,31,22:07,Monday,Abdominal Pain,3,21,6,8,1,1,9,6
278-01-6800,M,66,Pulmonology,9,18:52,Monday,Breathing Problem,2,5,6,7,0,1,6,6
403-48-2643,F,62,Orthopedics,33,02:26,Saturday,Fracture,3,21,8,5,1,6,4,4
574-05-3924,F,28,OB/GYN,7,05:50,Friday,Pregnancy Complication,2,9,6,5,1,5,12,6
606-55-9151,F,59,Orthopedics,26,21:37,Friday,Fracture,3,14,3,9,1,5,4,4
389-27-5303,M,20,General,8,02:31,Wednesday,Allergic Reaction,3,6,7,15,0,3,8,6
335-84-9373,M,8,General Surgery,30,23:12,Friday,Abdominal Pain,3,17,5,6,0,5,9,6
117-02-4931,M,4,General Medicine,57,00:16,Saturday,Fever,4,23,9,12,0,6,10,5
400-48-7366,F,64,Burn Unit,19,06:44,Thursday,Burn Injury,3,17,7,14,1,4,5,6
514-75-2742,F,29,General Medicine,33,17:11,Sunday,Fever,4,11,10,12,1,7,10,5
781-40-0701,M,26,General Medicine,75,07:08,Tuesday,Fever,4,21,5,9,0,2,10,5
444-03-4235,F,29,OB/GYN,15,04:45,Thursday,Pregnancy Complication,2,24,8,10,1,4,12,6
892-25-8683,M,14,Neurology,2,12:31,Saturday,Stroke,1,23,5,11,0,6,2,2
160-14-1320,M,73,Cardiology,3,22:57,Monday,Chest Pain,2,21,3,15,0,1,7,1
198-35-6734,M,49,Cardiology,7,16:04,Friday,Heart Attack,1,19,10,9,0,5,1,1
428-14-7095,F,39,General Surgery,5,23:10,Saturday,Abdominal Pain,3,7,8,15,1,6,9,6
132-48-1247,F,58,General,33,15:35,Friday,Allergic Reaction,3,16,3,6,1,5,8,6
411-11-8513,M,57,Trauma,3,08:16,Monday,Accident,2,11,9,10,0,1,3,6
176-14-4067,M,4,General Medicine,34,22:54,Saturday,Fever,4,7,9,5,0,6,10,5
318-27-1087,F,74,Cardiology,4,17:04,Saturday,Heart Attack,1,15,4,11,1,6,1,1
254-34-7286,F,34,Trauma,4,16:41,Wednesday,Accident,2,21,5,8,1,3,3,6
278-84-3772,F,9,Cardiology,6,21:40,Sunday,Chest Pain,2,12,8,15,1,7,7,1
689-35-5574,M,65,Orthopedics,21,02:46,Wednesday,Fracture,3,14,8,6,0,3,4,4
783-65-6030,F,30,Cardiology,2,02:23,Tuesday,Chest Pain,2,10,9,9,1,2,7,1
551-80-9262,F,8,Trauma,8,23:58,Friday,Accident,2,17,4,12,1,5,3,6
541-01-7660,M,56,Burn Unit,6,22:44,Monday,Burn Injury,3,5,7,12,0,1,5,6
799-44-2163,F,7,Neurology,2,11:05,Saturday,Stroke,1,24,5,6,1,6,2,2
645-05-4509,M,4,Neurology,6,17:38,Friday,Stroke,1,16,7,11,0,5,2,2
890-83-9216,F,59,Cardiology,9,08:29,Sunday,Chest Pain,2,23,6,15,1,7,7,1
354-25-6792,M,7,Burn Unit,13,10:53,Monday,Burn Injury,3,5,3,6,0,1,5,6
112-44-3497,F,9,Cardiology,7,22:51,Saturday,Chest Pain,2,9,9,13,1,6,7,1
274-80-8104,M,44,Neurology,13,20:25,Monday,Stroke,1,12,8,9,0,1,2,2
427-82-7478,M,53,Cardiology,7,05:35,Thursday,Chest Pain,2,24,6,12,0,4,7,1
496-43-4865,M,22,General,27,05:55,Thursday,Allergic Reaction,3,12,3,7,0,4,8,6
520-32-2321,F,35,General,18,02:55,Wednesday,Allergic Reaction,3,17,5,12,1,3,8,6
112-97-3102,M,66,General Surgery,14,14:52,Monday,Abdominal Pain,3,13,8,13,0,1,9,6
535-11-6522,F,16,Burn Unit,20,09:34,Wednesday,Burn Injury,3,17,8,8,1,3,5,6
794-76-5261,F,28,Cardiology,15,03:24,Tuesday,Chest Pain,2,18,9,13,1,2,7,1
638-43-3145,M,39,Trauma,13,06:28,Friday,Accident,2,15,8,12,0,5,3,6
459-36-1115,F,38,Burn Unit,11,00:58,Sunday,Burn Injury,3,7,7,12,1,7,5,6
175-55-7298,M,56,Cardiology,13,15:55,Saturday,Heart Attack,1,10,9,14,0,6,1,1
193-59-9441,M,37,Cardiology,10,10:05,Sunday,Heart Attack,1,18,6,14,0,7,1,1
849-83-7668,F,5,General Surgery,11,10:47,Wednesday,Abdominal Pain,3,11,9,9,1,3,9,6
274-30-2230,M,24,General,17,15:31,Monday,Allergic Reaction,3,8,5,6,0,1,8,6
242-37-3166,M,10,General,18,13:18,Tuesday,Allergic Reaction,3,19,10,13,0,2,8,6
875-62-3505,M,7,Burn Unit,9,22:47,Sunday,Burn Injury,3,8,8,13,0,7,5,6
661-56-7551,M,33,Orthopedics,9,03:39,Wednesday,Fracture,3,10,10,12,0,3,4,4
528-57-6645,F,44,Neurology,11,20:03,Tuesday,Stroke,1,14,10,11,1,2,2,2
715-45-1813,F,48,Trauma,7,08:32,Monday,Accident,2,12,8,10,1,1,3,6
457-45-2849,M,8,Cardiology,14,22:41,Saturday,Chest Pain,2,12,7,15,0,6,7,1
692-49-3211,M,69,Pulmonology,3,02:16,Thursday,Breathing Problem,2,25,8,9,0,4,6,6
621-48-6458,F,38,Cardiology,2,19:38,Friday,Chest Pain,2,18,9,7,1,5,7,1
691-12-9990,F,33,General Surgery,14,22:10,Tuesday,Abdominal Pain,3,13,8,9,1,2,9,6
888-70-5454,F,16,Pulmonology,14,19:22,Wednesday,Breathing Problem,2,16,4,12,1,3,6,6
323-30-5176,M,54,Cardiology,11,10:46,Tuesday,Heart Attack,1,22,5,6,0,2,1,1
452-96-1280,F,33,General Medicine,75,11:03,Wednesday,Fever,4,21,3,10,1,3,10,5
763-87-4222,F,73,General Surgery,27,14:14,Monday,Abdominal Pain,3,20,8,7,1,1,9,6
728-15-5341,M,12,Burn Unit,29,11:20,Monday,Burn Injury,3,12,4,5,0,1,5,6
166-20-2794,M,68,Burn Unit,20,19:26,Tuesday,Burn Injury,3,13,6,9,0,2,5,6
501-78-1934,F,16,Cardiology,7,12:36,Tuesday,Heart Attack,1,13,8,9,1,2,1,1
167-17-2338,M,48,Cardiology,10,00:54,Tuesday,Heart Attack,1,11,5,8,0,2,1,1
288-91-8881,F,42,Cardiology,2,05:27,Friday,Chest Pain,2,18,4,9,1,5,7,1
156-04-1460,M,21,Orthopedics,14,13:07,Friday,Fracture,3,12,6,15,0,5,4,4
404-61-7141,F,46,Trauma,6,19:45,Wednesday,Accident,2,20,4,10,1,3,3,6
310-75-2760,M,78,General Surgery,18,16:34,Sunday,Abdominal Pain,3,10,4,7,0,7,9,6
797-10-7600,M,1,Pulmonology,3,14:22,Sunday,Breathing Problem,2,23,5,14,0,7,6,6
110-77-9670,M,36,General Medicine,65,10:06,Tuesday,Fever,4,23,4,14,0,2,10,5
556-92-5924,F,37,General Medicine,40,06:06,Thursday,Fever,4,10,7,7,1,4,10,5
298-10-7060,F,34,General,38,02:38,Sunday,Allergic Reaction,3,25,5,8,1,7,8,6
490-07-8452,M,1,Trauma,14,19:51,Tuesday,Accident,2,12,8,7,0,2,3,6
172-88-6642,M,53,General Medicine,51,09:05,Wednesday,Fever,4,9,4,5,0,3,10,5
864-61-2647,M,35,General Surgery,22,05:47,Sunday,Abdominal Pain,3,11,4,6,0,7,9,6
131-71-6388,M,60,Pulmonology,4,12:26,Saturday,Breathing Problem,2,8,8,6,0,6,6,6
462-37-3053,M,41,General Medicine,46,08:56,Friday,Fever,4,18,10,12,0,5,10,5
353-11-2559,F,49,OB/GYN,3,22:40,Saturday,Pregnancy Complication,2,23,4,8,1,6,12,6
130-62-4906,F,50,Orthopedics,25,01:30,Saturday,Fracture,3,23,10,11,1,6,4,4
306-59-8935,M,44,Cardiology,4,17:22,Saturday,Chest Pain,2,16,4,14,0,6,7,1
249-32-3203,F,50,General Surgery,28,11:42,Thursday,Abdominal Pain,3,24,10,6,1,4,9,6
262-69-4482,M,38,Pulmonology,8,05:54,Friday,Breathing Problem,2,18,9,6,0,5,6,6
510-69-5252,M,51,Trauma,13,09:39,Friday,Accident,2,11,8,6,0,5,3,6
799-21-2876,F,19,Orthopedics,23,10:03,Saturday,Fracture,3,14,7,7,1,6,4,4
373-37-3790,M,67,General,29,09:48,Friday,Allergic Reaction,3,24,6,10,0,5,8,6
421-39-9248,M,13,General Surgery,31,18:50,Monday,Abdominal Pain,3,16,3,7,0,1,9,6
373-70-7925,M,16,General,16,00:04,Thursday,Allergic Reaction,3,15,3,14,0,4,8,6
610-55-3526,M,29,General,13,06:10,Friday,Allergic Reaction,3,14,10,15,0,5,8,6
525-36-7812,M,58,Pulmonology,12,10:47,Sunday,Breathing Problem,2,12,10,13,0,7,6,6
114-16-7000,M,27,Pulmonology,5,16:48,Saturday,Breathing Problem,2,13,5,14,0,6,6,6
444-83-4739,F,44,OB/GYN,6,08:32,Saturday,Pregnancy Complication,2,21,6,14,1,6,12,6
699-99-8759,F,27,Neurology,10,12:50,Friday,Stroke,1,16,7,6,1,5,2,2
